makespan: 76.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	9	9
1	10	2	9	14	23
1	4	1	23	15	38
1	1	3	42	13	55
2	9	1	0	9	9
2	7	1	9	6	15
2	8	2	15	16	31
2	9	3	31	15	46
2	3	2	46	13	59
2	6	3	59	8	67
2	8	4	68	8	76
3	2	1	0	19	19
3	3	1	19	13	32
3	1	2	32	10	42
3	4	2	42	8	50
3	2	4	50	14	64
3	10	5	64	10	74
4	8	1	0	11	11
4	5	1	11	6	17
4	2	2	19	9	28
4	7	2	28	11	39
4	6	2	39	20	59
4	9	4	59	12	71
5	6	1	0	16	16
5	10	3	23	11	34
5	10	4	34	14	48
5	8	3	48	20	68
5	7	4	68	8	76
6	1	1	0	16	16
6	9	2	16	10	26
6	5	2	26	9	35
6	2	3	35	14	49
6	7	3	49	14	63
6	4	3	63	13	76
