makespan: 63.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	2	5	5	10
1	2	1	10	18	28
1	2	3	33	10	43
1	10	2	43	5	48
1	3	3	48	14	62
2	7	1	0	18	18
2	1	3	18	5	23
2	4	2	23	15	38
2	4	3	38	9	47
2	5	4	47	9	56
2	10	3	56	7	63
3	1	1	0	5	5
3	9	1	5	12	17
3	7	2	18	15	33
3	5	3	33	13	46
3	2	4	46	17	63
4	8	1	0	7	7
4	5	1	8	11	19
4	8	2	19	7	26
4	10	1	26	16	42
4	3	2	42	5	47
4	1	4	47	8	55
5	4	1	0	19	19
5	3	1	19	9	28
5	2	2	28	5	33
5	8	3	33	10	43
5	8	4	43	12	55
5	1	5	55	8	63
6	6	1	0	7	7
6	6	2	7	12	19
6	5	2	19	9	28
6	9	2	28	12	40
6	7	3	40	5	45
6	7	4	45	7	52
6	7	5	54	9	63
