makespan: 93.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	8	8
1	3	1	8	10	18
1	10	2	35	16	51
1	9	2	59	16	75
1	1	5	75	11	86
2	6	1	0	18	18
2	7	2	18	20	38
2	1	2	38	18	56
2	6	2	56	18	74
3	4	1	0	19	19
3	3	2	19	8	27
3	10	1	27	8	35
3	4	3	35	12	47
3	4	4	47	5	52
3	8	3	52	5	57
3	1	3	57	10	67
3	3	4	67	9	76
3	7	5	76	6	82
3	6	4	82	11	93
4	5	1	0	20	20
4	2	2	20	19	39
4	5	3	54	10	64
4	1	4	67	8	75
4	8	4	75	18	93
5	8	1	0	6	6
5	2	1	6	5	11
5	3	3	27	14	41
5	7	3	41	9	50
5	4	5	52	19	71
5	6	3	74	8	82
6	7	1	0	8	8
6	8	2	8	12	20
6	4	2	20	15	35
6	5	2	35	19	54
6	9	1	54	5	59
6	7	4	59	17	76
