makespan: 65.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	10	10
1	8	2	14	6	20
1	6	3	20	8	28
1	9	2	28	5	33
1	8	4	33	12	45
1	1	5	45	19	64
2	1	2	6	7	13
2	3	1	13	19	32
2	1	4	32	6	38
2	9	3	38	6	44
2	4	2	44	5	49
2	8	5	49	16	65
3	6	1	0	12	12
3	9	1	12	6	18
3	7	1	19	20	39
3	3	2	39	5	44
3	2	3	44	13	57
4	1	1	0	6	6
4	8	1	6	8	14
4	6	2	14	6	20
4	5	1	20	10	30
4	10	2	30	7	37
4	3	3	44	16	60
5	2	1	0	5	5
5	1	3	13	14	27
5	6	4	28	16	44
5	7	2	44	11	55
5	2	4	57	8	65
6	4	1	0	17	17
6	8	3	20	5	25
6	2	2	25	12	37
6	5	2	37	6	43
6	5	3	43	12	55
6	7	3	55	10	65
