makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	2	9	7	16
1	8	3	16	10	26
1	4	3	26	13	39
1	4	4	39	11	50
1	3	5	50	11	61
1	7	3	61	12	73
2	10	1	0	12	12
2	10	2	12	13	25
2	6	2	25	11	36
2	1	2	36	5	41
2	5	1	41	18	59
3	2	1	0	13	13
3	1	1	13	14	27
3	3	3	27	11	38
3	10	4	38	9	47
3	2	5	52	14	66
4	8	1	0	9	9
4	4	1	9	5	14
4	6	1	14	8	22
4	2	2	22	7	29
4	10	3	29	8	37
4	1	3	41	12	53
4	6	3	53	19	72
5	3	1	0	14	14
5	4	2	14	10	24
5	7	1	24	9	33
5	3	4	38	9	47
5	2	4	47	5	52
5	10	5	52	12	64
5	5	3	67	7	74
6	9	1	0	17	17
6	3	2	17	9	26
6	2	3	29	18	47
6	7	2	47	13	60
6	5	2	60	7	67
6	9	2	69	5	74
