makespan: 66.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	10	10
1	6	1	10	6	16
1	1	3	16	11	27
1	3	3	27	20	47
1	7	3	47	13	60
1	9	5	60	6	66
2	10	1	0	8	8
2	2	1	8	5	13
2	5	3	17	6	23
2	9	2	23	14	37
2	2	2	37	17	54
2	1	5	54	10	64
3	5	1	0	7	7
3	1	2	7	5	12
3	3	2	12	13	25
3	4	1	25	7	32
3	10	3	32	7	39
3	7	2	39	8	47
3	1	4	47	7	54
3	5	5	54	10	64
4	3	1	2	8	10
4	9	1	10	8	18
4	5	4	23	17	40
4	8	3	40	5	45
4	10	4	45	20	65
5	1	1	0	7	7
5	10	2	8	14	22
5	8	2	22	13	35
5	6	3	35	8	43
5	9	3	43	7	50
5	9	4	50	7	57
5	6	4	57	9	66
6	5	2	8	9	17
6	6	2	21	5	26
6	7	1	26	10	36
6	4	2	36	15	51
6	8	4	54	7	61
