makespan: 69.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	3	1	0	11	11
1	3	2	11	8	19
1	1	2	19	19	38
1	4	3	38	11	49
1	9	3	49	8	57
1	5	5	57	12	69
2	1	1	0	10	10
2	2	2	10	11	21
2	4	2	24	8	32
2	3	3	32	20	52
2	8	3	52	7	59
3	9	1	0	14	14
3	4	1	14	10	24
3	6	3	33	13	46
3	2	4	46	12	58
3	3	4	58	8	66
4	6	1	0	14	14
4	5	2	14	11	25
4	6	2	25	8	33
4	2	3	33	8	41
4	10	1	41	9	50
4	10	2	50	19	69
5	5	1	0	13	13
5	7	1	13	5	18
5	7	2	18	9	27
5	8	2	27	6	33
5	5	4	33	20	53
5	6	4	53	15	68
6	2	1	0	10	10
6	8	1	10	15	25
6	5	3	25	7	32
6	9	2	32	11	43
6	1	3	43	10	53
6	8	4	59	5	64
