makespan: 66.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	7	1	0	7	7
1	5	1	7	8	15
1	6	2	16	9	25
1	9	2	25	14	39
1	1	4	39	5	44
1	4	2	44	8	52
1	6	5	58	8	66
2	7	2	7	6	13
2	8	2	13	12	25
2	10	1	25	18	43
2	2	4	43	11	54
2	4	3	54	9	63
3	1	1	0	13	13
3	1	2	13	14	27
3	6	3	27	8	35
3	3	3	35	13	48
3	9	4	48	13	61
3	1	5	61	5	66
4	6	1	0	16	16
4	2	1	16	5	21
4	3	2	21	5	26
4	4	1	26	11	37
4	2	3	37	6	43
4	5	2	43	12	55
4	5	3	55	11	66
5	3	1	0	5	5
5	9	1	5	20	25
5	7	4	25	7	32
5	8	3	32	6	38
5	9	3	39	8	47
5	10	2	47	10	57
5	2	5	57	9	66
6	8	1	0	12	12
6	7	3	13	9	22
6	2	2	22	6	28
6	1	3	28	9	37
6	6	4	37	10	47
6	3	4	48	16	64
