makespan: 98.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	8	8
1	7	1	8	8	16
1	4	2	16	15	31
1	6	2	31	13	44
1	6	3	44	8	52
1	10	4	82	8	90
2	5	1	0	17	17
2	1	2	17	9	26
2	3	1	26	18	44
2	10	2	44	20	64
2	7	3	64	11	75
2	6	4	75	5	80
3	9	1	0	13	13
3	8	1	13	6	19
3	8	2	19	8	27
3	2	4	36	11	47
3	2	5	47	18	65
3	1	4	65	18	83
3	5	5	83	11	94
4	4	1	0	10	10
4	2	2	10	16	26
4	10	1	26	13	39
4	5	3	39	9	48
4	1	3	48	13	61
4	9	2	61	13	74
4	10	3	74	8	82
4	1	5	83	8	91
5	1	1	0	8	8
5	6	1	8	20	28
5	2	3	28	8	36
5	4	3	36	20	56
5	9	4	80	9	89
5	9	5	89	9	98
6	7	2	16	14	30
6	5	2	30	9	39
6	3	2	44	7	51
6	5	4	51	14	65
6	9	3	74	6	80
