makespan: 66.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	6	6
1	4	2	7	9	16
1	10	3	16	7	23
1	10	4	23	11	34
1	1	4	36	8	44
1	6	2	44	20	64
2	4	1	0	7	7
2	8	3	11	7	18
2	9	3	18	11	29
2	7	2	29	7	36
2	3	2	36	13	49
2	9	5	49	17	66
3	9	1	1	7	8
3	10	2	8	7	15
3	4	3	16	12	28
3	1	3	29	7	36
3	7	3	36	14	50
3	5	3	51	15	66
4	8	1	0	6	6
4	1	2	10	11	21
4	6	1	21	17	38
4	9	4	38	11	49
4	7	4	51	6	57
4	2	4	57	9	66
5	1	1	0	9	9
5	9	2	9	5	14
5	2	2	14	6	20
5	7	1	20	7	27
5	5	1	27	16	43
5	8	4	43	12	55
5	7	5	57	9	66
6	10	1	0	5	5
6	8	2	6	5	11
6	3	1	11	14	25
6	2	3	25	18	43
6	5	2	43	8	51
6	1	5	52	14	66
