makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	5	1	0	11	11
1	2	2	12	7	19
1	2	3	19	13	32
1	7	3	32	14	46
1	2	4	46	20	66
1	5	5	66	7	73
2	2	1	0	12	12
2	10	1	12	9	21
2	10	2	21	9	30
2	10	3	30	15	45
2	7	4	46	9	55
2	3	3	55	10	65
2	1	3	65	9	74
3	8	1	0	8	8
3	7	1	8	14	22
3	7	2	22	8	30
3	5	2	30	10	40
3	5	3	40	9	49
3	7	5	55	12	67
3	2	5	67	6	73
4	3	1	0	9	9
4	4	2	9	6	15
4	9	3	21	16	37
4	9	4	37	9	46
4	1	2	49	11	60
4	6	2	60	6	66
5	9	1	0	15	15
5	9	2	15	6	21
5	8	2	21	17	38
5	1	1	38	10	48
5	5	4	49	11	60
5	9	5	60	10	70
6	4	1	0	8	8
6	3	2	9	6	15
6	6	1	15	9	24
6	4	3	24	15	39
6	8	3	39	16	55
6	8	4	55	12	67
