makespan: 81.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	15	15
1	1	2	15	12	27
1	7	1	27	16	43
1	10	2	43	15	58
1	8	3	58	17	75
2	8	1	1	12	13
2	4	2	15	11	26
2	3	3	26	17	43
2	8	2	44	13	57
2	6	5	63	5	68
2	4	5	71	7	78
3	1	1	0	8	8
3	2	1	8	12	20
3	4	3	26	19	45
3	3	4	45	11	56
3	1	4	56	9	65
3	7	4	65	16	81
4	5	1	0	5	5
4	3	2	5	6	11
4	9	1	11	17	28
4	1	3	28	14	42
4	7	2	43	10	53
4	9	3	53	18	71
5	3	1	0	5	5
5	6	1	5	10	15
5	6	2	15	10	25
5	10	1	25	13	38
5	6	4	38	16	54
5	7	3	54	5	59
5	4	4	59	12	71
5	2	2	71	6	77
6	5	2	5	5	10
6	6	3	28	5	33
6	9	2	33	15	48
6	3	5	56	17	73
