makespan: 72.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	14	14
1	8	1	14	5	19
1	9	1	19	11	30
1	9	2	30	9	39
1	7	2	39	6	45
1	7	3	45	7	52
1	5	4	52	5	57
1	8	4	57	7	64
1	6	2	64	7	71
2	4	1	0	7	7
2	4	2	7	10	17
2	10	3	22	16	38
2	8	3	49	6	55
2	3	4	55	13	68
3	5	1	0	14	14
3	10	2	14	8	22
3	7	1	22	11	33
3	8	2	33	16	49
3	2	4	49	6	55
3	2	5	55	6	61
3	9	3	61	10	71
4	2	1	0	15	15
4	3	1	15	13	28
4	3	2	28	13	41
4	10	4	41	13	54
4	10	5	54	8	62
4	8	5	64	8	72
5	1	1	0	15	15
5	2	2	15	7	22
5	2	3	22	11	33
5	5	3	33	19	52
5	4	3	52	19	71
6	6	1	0	10	10
6	5	2	14	18	32
6	1	2	32	9	41
6	3	3	41	13	54
6	7	4	54	6	60
6	7	5	60	12	72
