makespan: 80.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	7	1	0	17	17
1	1	1	17	11	28
1	10	2	28	6	34
1	8	2	34	7	41
1	5	5	42	16	58
1	1	5	58	7	65
1	6	5	69	11	80
2	5	1	0	14	14
2	9	1	14	12	26
2	6	2	26	17	43
2	1	4	43	6	49
2	9	2	49	10	59
2	9	3	59	20	79
3	6	1	0	19	19
3	7	2	19	12	31
3	1	2	31	6	37
3	1	3	37	5	42
3	6	3	43	6	49
3	6	4	49	20	69
3	2	3	69	6	75
4	2	1	0	16	16
4	5	2	16	5	21
4	4	1	21	20	41
4	8	3	41	14	55
4	3	1	55	13	68
5	10	1	0	19	19
5	5	3	21	6	27
5	5	4	27	15	42
5	7	4	42	6	48
5	4	3	48	20	68
5	3	2	68	10	78
6	8	1	0	18	18
6	2	2	18	10	28
6	7	3	31	5	36
6	4	2	41	7	48
6	7	5	48	12	60
6	8	4	60	7	67
6	4	4	68	12	80
