makespan: 69.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	9	1	0	6	6
1	10	1	6	14	20
1	8	1	20	5	25
1	4	3	25	18	43
1	5	4	43	18	61
1	1	3	61	6	67
2	7	1	0	7	7
2	5	1	7	11	18
2	5	2	18	5	23
2	6	2	23	10	33
2	3	4	33	5	38
2	7	3	38	7	45
2	8	3	45	8	53
2	5	5	61	8	69
3	7	2	7	12	19
3	2	2	19	6	25
3	8	2	25	19	44
3	9	3	44	15	59
3	4	4	59	10	69
4	4	1	0	7	7
4	6	1	7	6	13
4	4	2	13	12	25
4	1	1	25	9	34
4	2	3	34	7	41
4	1	2	41	15	56
4	8	4	56	12	68
5	2	1	0	13	13
5	3	2	13	7	20
5	3	3	20	11	31
5	6	3	33	19	52
5	10	2	52	11	63
6	3	1	0	10	10
6	9	2	10	7	17
6	5	3	23	15	38
6	3	5	38	12	50
6	7	4	50	19	69
