makespan: 76.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	2	5	10	15
1	5	2	15	7	22
1	1	3	22	15	37
1	4	3	37	5	42
1	2	2	42	8	50
1	9	4	50	6	56
1	4	4	56	16	72
2	1	1	0	5	5
2	8	1	5	6	11
2	4	2	18	12	30
2	8	3	30	8	38
2	1	4	38	18	56
2	6	4	56	20	76
3	5	1	0	13	13
3	10	1	13	7	20
3	7	1	20	8	28
3	5	4	48	12	60
3	8	5	60	15	75
4	2	1	0	9	9
4	6	1	9	15	24
4	10	2	24	6	30
4	9	3	30	16	46
4	10	3	46	18	64
4	3	3	64	12	76
5	9	2	9	16	25
5	6	2	25	9	34
5	5	3	34	14	48
5	8	4	48	8	56
5	3	2	56	7	63
5	5	5	63	6	69
5	9	5	69	7	76
6	9	1	0	9	9
6	4	1	9	9	18
6	8	2	18	12	30
6	3	1	30	5	35
6	6	3	35	12	47
6	7	2	47	9	56
6	7	3	56	6	62
6	1	5	62	14	76
