file,status,makespan,solve_time
ossp_7j_6m_0094.json,OPTIMAL,53,0.027823800000000003
ossp_8j_3m_0030.json,OPTIMAL,76,0.024114
ossp_8j_3m_0044.json,OPTIMAL,99,0.024653300000000003
ossp_8j_4m_0029.json,OPTIMAL,64,0.0228168
ossp_8j_4m_0042.json,OPTIMAL,76,0.024920900000000003
ossp_8j_4m_0064.json,OPTIMAL,53,0.022782700000000003
ossp_8j_4m_0090.json,OPTIMAL,95,0.024600700000000003
ossp_8j_5m_0001.json,OPTIMAL,105,0.029856200000000003
ossp_8j_5m_0067.json,OPTIMAL,65,0.026539800000000002
ossp_8j_5m_0081.json,OPTIMAL,111,0.028144000000000002
ossp_8j_6m_0005.json,OPTIMAL,86,0.026750000000000003
ossp_8j_6m_0039.json,OPTIMAL,86,0.030217900000000002
ossp_8j_6m_0080.json,OPTIMAL,75,0.022746500000000003
ossp_8j_6m_0082.json,OPTIMAL,85,0.022284400000000003
ossp_8j_6m_0099.json,OPTIMAL,95,0.0310161
