makespan: 65.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	11	11
1	5	1	11	16	27
1	9	4	27	6	33
1	2	4	34	19	53
1	8	3	58	6	64
2	7	1	0	6	6
2	9	2	16	6	22
2	9	3	22	5	27
2	1	5	39	5	44
2	10	3	44	6	50
2	2	5	53	9	62
3	9	1	0	16	16
3	2	2	16	6	22
3	1	3	22	5	27
3	10	2	28	14	42
3	6	1	42	10	52
3	6	2	52	8	60
4	2	1	0	16	16
4	10	1	16	12	28
4	3	1	28	14	42
4	3	2	42	10	52
4	10	4	52	13	65
5	4	1	0	5	5
5	1	2	11	5	16
5	2	3	22	12	34
5	1	4	34	5	39
5	7	3	39	17	56
5	3	3	56	6	62
6	8	1	0	11	11
6	7	2	11	15	26
6	4	2	26	10	36
6	5	2	36	15	51
6	8	2	51	7	58
6	9	5	58	7	65
