makespan: 38
status: OPTIMAL
Machine	Job	Operation	Start	Processing	End
1	23	1	0	9	9
1	9	2	9	7	16
1	10	4	17	4	21
1	18	3	21	1	22
1	7	4	22	6	28
1	21	5	28	8	36
2	9	1	0	2	2
2	6	1	2	4	6
2	28	3	9	8	17
2	28	4	17	4	21
2	5	3	21	4	25
2	22	4	25	1	26
2	8	3	26	7	33
2	19	5	34	4	38
3	3	1	0	2	2
3	29	1	2	2	4
3	17	2	4	1	5
3	17	3	5	2	7
3	24	3	9	7	16
3	15	3	16	2	18
3	23	4	18	7	25
3	23	5	25	6	31
3	23	6	31	3	34
3	18	5	34	2	36
3	18	6	36	2	38
4	11	1	0	1	1
4	16	1	1	4	5
4	13	2	11	5	16
4	11	4	16	6	22
4	11	5	22	2	24
4	20	3	24	2	26
4	3	6	26	6	32
4	2	5	32	1	33
4	8	4	34	1	35
5	28	1	0	4	4
5	10	1	4	2	6
5	2	2	6	1	7
5	10	2	7	4	11
5	10	5	22	1	23
5	5	4	28	1	29
5	19	4	29	1	30
5	22	6	32	2	34
5	13	7	34	3	37
6	13	1	0	7	7
6	4	2	7	2	9
6	4	3	9	10	19
6	1	5	23	4	27
6	15	5	27	3	30
6	14	4	33	4	37
7	7	1	0	4	4
7	21	2	4	4	8
7	2	3	8	3	11
7	27	2	11	4	15
7	25	4	15	8	23
7	18	4	23	4	27
7	12	4	27	8	35
7	3	7	35	3	38
8	15	1	0	1	1
8	24	1	1	3	4
8	25	2	4	4	8
8	16	2	8	4	12
8	13	3	17	1	18
8	9	3	21	5	26
9	27	1	0	9	9
9	21	3	9	2	11
9	2	4	12	8	20
9	13	4	20	3	23
9	13	5	23	2	25
9	20	4	27	1	28
9	9	4	28	8	36
9	15	7	36	2	38
10	18	1	0	5	5
10	7	2	5	3	8
10	12	3	10	6	16
10	3	4	16	4	20
10	24	4	20	5	25
10	28	6	26	3	29
10	6	3	31	2	33
10	23	7	35	3	38
11	25	1	0	2	2
11	11	2	3	1	4
11	28	2	6	2	8
11	5	2	9	8	17
11	29	5	21	2	23
11	29	6	23	10	33
11	7	6	33	5	38
12	1	1	0	6	6
12	24	2	6	1	7
12	30	1	7	6	13
12	8	2	13	1	14
12	23	3	15	1	16
12	16	3	16	5	21
12	15	4	22	1	23
12	26	3	23	7	30
12	1	6	30	4	34
12	1	7	34	4	38
13	21	1	0	2	2
13	12	1	2	2	4
13	29	2	5	1	6
13	29	3	6	5	11
13	3	3	11	3	14
13	18	2	14	2	16
13	21	4	16	10	26
13	30	3	26	7	33
14	22	2	10	2	12
14	17	4	12	7	19
14	20	2	19	3	22
14	16	4	22	2	24
14	25	5	24	2	26
14	26	4	31	2	33
14	5	5	33	2	35
14	6	4	35	2	37
15	17	1	0	2	2
15	2	1	2	2	4
15	15	2	6	4	10
15	23	2	10	2	12
15	11	3	12	3	15
15	14	2	15	1	16
15	19	3	20	8	28
15	22	5	29	2	31
16	26	1	0	3	3
16	3	2	6	4	10
16	25	3	10	2	12
16	10	3	12	4	16
16	17	5	23	3	26
16	17	6	26	3	29
16	10	6	29	2	31
16	25	6	31	5	36
16	30	4	36	1	37
16	8	5	37	1	38
17	14	1	0	10	10
17	22	3	16	6	22
17	28	5	23	2	25
17	27	5	29	3	32
17	4	5	32	4	36
17	26	5	37	1	38
18	4	1	0	6	6
18	12	2	6	1	7
18	1	2	7	1	8
18	1	3	8	8	16
18	27	3	16	2	18
18	1	4	18	4	22
18	13	6	29	1	30
18	20	5	32	4	36
19	22	1	0	5	5
19	19	1	5	4	9
19	20	1	9	5	14
19	7	3	14	3	17
19	30	2	17	2	19
19	3	5	21	4	25
19	6	2	25	3	28
19	28	7	30	8	38
20	8	1	0	3	3
20	5	1	3	5	8
20	26	2	8	5	13
20	19	2	13	2	15
20	29	4	15	5	20
20	27	4	22	2	24
20	4	4	24	2	26
20	14	3	26	3	29
20	7	5	30	1	31
20	15	6	32	1	33
20	27	6	33	3	36
20	17	7	36	2	38
